	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.25681135252175197	0.235118013970377	0.11230664954998501	0.163417447670673	0.332014131660157	0.135037457421055	0.200030691107918	0.202334074777647	0.291881502057674	0.167379629065673	0.9455068221312428	0.197752544016159	0.15059970024261302	0.300177599914355	0.127018623905895	0.222041059263764	0.22836725271636396	0.221554849412561	0.262551600954595	0.22124037730702809	0.167515755089162	0.4624532060322461	0.24468599995988705	0.320036479697486	0.3676174953687029	0.207749207466183	0.145442136810944	0.23068726086878505	0.9455957529598841	0.2408370917980289	0.269804840067349	0.12252377935068	0.14689115437247	0.208662481334637	0.19242633325530106	0.275956122368615	0.230034175304739	0.15466592131848902	0.273396537059929	0.26796873009747896	0.16788499575207005	0.12376194599437801	0.196157312737638	0.302266583867916	0.20712319406967106	0.251625718394859	0.2383652455258901	0.21530419575907506	0.22232133168105608	0.353821715947439	0.103688798525194	0.20042180926288397	0.18118091504654601	0.361453681657473	0.112241231187736	0.952486754254338
cg08194377	0.37677162155886895	0.269719940418467	0.13555294677367	0.341270764050927	0.7358961913175759	0.149590327972185	0.17066127135758602	0.258386364973222	0.178790990905961	0.135015531601118	0.151476400573286	0.35119572794569	0.13770490886696699	0.17333639805038098	0.11886798875191495	0.259794770956664	0.262589579524172	0.22824110829744101	0.636697141451245	0.161137111550294	0.201703107497492	0.526065947753191	0.31613065039949106	0.4243920233064029	0.7384483344097459	0.11608136103852801	0.17789707348241698	0.149582116575267	0.229282413454763	0.34827089340480605	0.6133458258623371	0.18943774199907396	0.138978712679425	0.16521634243402694	0.21305298043574605	0.163368187975351	0.602830626602896	0.16440221398129198	0.7823661610648249	0.415826581777107	0.123379407696305	0.290719964918558	0.45028938295452403	0.4093582297793321	0.44630503822298495	0.373454678478599	0.304225837968626	0.190101179942286	0.25616964870714604	0.498264778397395	0.21448273723301	0.16397845314907994	0.22666034896537304	0.35427063738769105	0.189723629465948	0.20530855975070997
cg21200986	0.5503920959940529	0.3630170855097079	0.20929526530016002	0.355923941106181	0.7495023154760679	0.19816188532811801	0.36139570650019803	0.320086155654155	0.294893083736474	0.24897332189726604	0.216259158106107	0.4636490359698	0.223608160980165	0.271747007776387	0.21746021809402802	0.24433932445329398	0.551499880861907	0.244787322604174	0.65051235415795	0.380477412086527	0.377403118923627	0.573949978887531	0.411863910154469	0.626913768721298	0.782753073776266	0.201878428563828	0.182561198609155	0.354623896848692	0.37868765123981496	0.4293355608687821	0.7518103110205742	0.269344792613417	0.24863517406685	0.17913492826504604	0.26912564182301896	0.22477279812185397	0.5421355552412971	0.25420561714452805	0.788057826295522	0.485173344899574	0.197536677113477	0.204088292036249	0.524712096138663	0.43157903474128	0.557977719927068	0.337821412104935	0.250144560129401	0.4586492291117071	0.20840121015594198	0.630258925399457	0.19823264826159	0.339374531878741	0.259488216627089	0.4972034790601721	0.25017649400275	0.21028757366964893
cg14829516	0.487919482381146	0.36702137939198404	0.279921511775462	0.272657185704051	0.649428586728103	0.259308858559194	0.35634841855409005	0.33097480284225395	0.274116943469729	0.340647823270982	0.2649776221614	0.4152679228954021	0.3479945701872489	0.311591290313564	0.32788539053274396	0.26616147239071997	0.45606716599771796	0.92010927469882	0.575501213191394	0.3593784792992329	0.444099068434101	0.658841747728604	0.29503801364278903	0.520338262560509	0.689871844756078	0.29670609924477803	0.26658120496981896	0.31572815832760404	0.35009396351416106	0.4625473074332079	0.605995720913023	0.280000700849317	0.28408945320275897	0.16210540948485902	0.597694069375896	0.339383344396742	0.7831007236198051	0.325159391064967	0.693190444525988	0.531235766991933	0.269994197083045	0.334628636248317	0.45059207169292304	0.399734860663757	0.5297075826419191	0.30319009639252004	0.23622685555980202	0.4185083404667199	0.233761279977238	0.5848042863655021	0.230435998468482	0.38297970391146297	0.21577508771563797	0.41082827407003203	0.27487161647945496	0.35350741797315205
cg06654697	0.46292036431538297	0.701670744645439	0.832202104085997	0.763030571893095	0.321445044053916	0.822680645779458	0.870571920069135	0.830397634202864	0.86436306161477	0.827897505867648	0.854319830868275	0.7637258489672679	0.8609401877876399	0.811078950179127	0.7656903258869849	0.810386853442477	0.68236635045889	0.853428384796311	0.544308250078878	0.6249162747104561	0.8503777574094151	0.517266000764483	0.31769711570561604	0.618229105116083	0.235428631354634	0.809794042146226	0.927805217606578	0.863996318596265	0.805123317561708	0.7326980827427358	0.45539377365349704	0.7936762848491921	0.820273621555294	0.81808369631164	0.58236748273154	0.8457250178408091	0.573636993347377	0.87163253047769	0.298530870359998	0.6592101264398029	0.797488719494028	0.732296616195244	0.544952860245869	0.7126667919244369	0.568191755243676	0.6488619647701329	0.6459203093805429	0.7388026831911121	0.6329469160676129	0.5	0.8400007001646759	0.729250989502796	0.673753528426825	0.62439552381821	0.880174389366875	0.7751603296414991
cg08658787	0.480328449466868	0.230657562001391	0.21516329362202802	0.21119112871763396	0.5652379579594791	0.19946257004998602	0.14501190320297194	0.275496488143192	0.144079468646486	0.186129242885823	0.21919406889927998	0.371104161163332	0.0878524704351797	0.20101585224944696	0.18467933164194605	0.13378633427624098	0.353395676459762	0.691342831266083	0.431672480402366	0.251923024718102	0.20220384774468	0.5371921320284461	0.326879558502209	0.5208245799911579	0.6090012652341469	0.22831940754867602	0.14369649986958602	0.239805495595075	0.252129110175876	0.34677404342386997	0.46687338910428494	0.15367519069440802	0.230079016713885	0.124124777638259	0.31206455848305104	0.22808125811912	0.500395040092283	0.154105074065018	0.5651956792489	0.43513940663408296	0.204117773060416	0.279612820998019	0.4350011488458979	0.4744698740344311	0.442920288198084	0.33459189336317996	0.23421658716896201	0.24889280846112305	0.141735751185995	0.5777534230168709	0.11881496677321	0.3337607715089411	0.130569275874896	0.48489353688309295	0.20094694120838005	0.21075924875723293
cg06460983	0.24916002483029198	0.151717027874887	0.482710195640234	0.0967167810953866	0.0596611043894867	0.258665747770335	0.437189381429859	0.182185897215588	0.282752360326776	0.241316564154946	0.43875649078581197	0.169913473846946	0.577879059436448	0.39927375588303604	0.34538154792708003	0.451002810088474	0.143550897378151	0.307937668913683	0.227915125429953	0.10832222363681801	0.4610670630105171	0.0569930957956046	0.35622120442619004	0.27257424568231103	0.0772958100736105	0.328509037993006	0.5263268500334061	0.481153896970331	0.5082767344032921	0.131116201507205	0.192530265495127	0.342245967390519	0.4884231980014121	0.455660290447427	0.23687673819224106	0.4565496190325011	0.0844886017826318	0.436005017484042	0.0924760716436323	0.0560869708197222	0.172172353423873	0.246593718376323	0.21729879124056306	0.172825763842446	0.17338173618426506	0.435487969078239	0.22816134378230804	0.37352063052685297	0.39731207492987997	0.0504242719909866	0.423296591706193	0.143734844287122	0.514255019554035	0.129608041482612	0.384240691950116	0.281075321038897
cg26295272	0.48245269352856	0.331323187987317	0.385702330407269	0.29085029937926193	0.7300358391460259	0.31439393254408804	0.299782121232833	0.28761053328478803	0.232948624836757	0.247609264986629	0.270603579312227	0.4282360961698871	0.335535669034766	0.352189946684041	0.306905815815041	0.27013008404529104	0.4332293907021721	0.6068840621834269	0.550318052314822	0.4170579033727179	0.327214915133333	0.7145870117643492	0.319790822443974	0.43988545830736897	0.7791505725856641	0.265456057339892	0.24926858996318602	0.311826817174943	0.29448851105261104	0.4435409849867921	0.621210718656476	0.239634998808107	0.2101824750527861	0.18891442128975802	0.550939980880521	0.262537921256616	0.5741232831695661	0.285021498079927	0.786194255684016	0.407841720682391	0.221362728512826	0.36827722938635	0.3831347341359769	0.508802377011766	0.49550751048603997	0.32937695943337797	0.2851973896820301	0.17777426772164398	0.280889118216026	0.622257746796189	0.300574117835168	0.3486676754456311	0.33880403797426195	0.45510004273683297	0.301175447360083	0.344946880524605
cg13507084	0.596488295471666	0.5117517976743851	0.6037860241973361	0.542437627881276	0.602351404274023	0.22135208801536999	0.5666509624440811	0.396778874330857	0.462649882916063	0.6162408196817789	0.36081953480171003	0.69366928895532	0.5804834359965799	0.5982326617532321	0.294243568095042	0.46774217666154494	0.566563050620353	0.977956509308121	0.834836649419702	0.49002375006745397	0.33109729963320195	0.6768916055781241	0.32799378393773904	0.612485087934866	0.714885356864005	0.5053709460689061	0.434235662600058	0.47867143386204103	0.530927429278918	0.536813437123414	0.633167998862576	0.3432085549105769	0.41289001335403896	0.431062736505424	0.32862774221713303	0.615860041324093	0.7317909809465359	0.536202244196644	0.789483065635052	0.666140121632821	0.4544218452871821	0.32700362658289	0.4191644112166301	0.6332380786479971	0.7173426764500259	0.24915696740956197	0.469363155185455	0.396333180056481	0.26108083675613797	0.571757839957366	0.5574850930620999	0.45691630902875496	0.261840330699367	0.5130347829730361	0.298802619515757	0.692766134845348
cg26491818	0.43236633491152704	0.276536419364457	0.206113404570559	0.17045538698008195	0.7095712144912779	0.145923221992814	0.18170384220994196	0.154749871141976	0.14093571152128698	0.17536894209775794	0.181062212916173	0.36175132657563003	0.20534921678005	0.206995530263595	0.21191466443882892	0.10829011315983199	0.291028511547328	0.238774992595543	0.48878689975717604	0.232130191706296	0.20461002353828306	0.469105255520906	0.204571623784427	0.4342007108234289	0.652034804856176	0.160320084817974	0.11090880542738	0.18572283240562	0.29754365064515004	0.29497615600362703	0.49982120722010603	0.18987607630869602	0.21453230805763893	0.150020112886383	0.21272035904450196	0.17954392686616	0.33426928635200104	0.21583398332595397	0.7011901705560311	0.322269302521834	0.18554955343743001	0.17541944419772698	0.3478957691128129	0.32078915566013394	0.52538680894014	0.1739599846366	0.149338334235239	0.3658332481220429	0.0946069476365318	0.661272845092187	0.164946519440349	0.30827459933409496	0.10652212549354302	0.345968496109833	0.127165225336993	0.20912406978237305
