	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.2613132214015961	0.24714204080137625	0.23681196494826007	0.2468938350025069	0.27561942717029697	0.2906476264292946	0.28613044131423726	0.2401612809988088	0.2344780640459587	0.3993374587867472	0.2485153977610396	0.2842869256790228	0.233358489917041	0.24970967296052268	0.24688579380859554	0.2353735141337411	0.26138723885236426	0.2517668952552926	0.23226075400634752	0.24852763068154715	0.23335244523890136	0.2849889665396753	0.24962299853402425	0.2621428558383256	0.2506779433417994	0.25163589527615976	0.2514051243451111	0.25098444977221285	0.23907215131760354	0.24980549893213894	0.26164931465565255	0.2507510087362068	0.2333556519718334	0.29577997178755017	0.23546047034185374	0.23653180274238605	0.24926728539550794	0.2372201538489787	0.2500436185677335	0.3033840438634129	0.43811089108562495	0.26692778399665024	0.2654464024662116	0.3969703533244956	0.2436170012877564	0.2411246117306085	0.25296018836191425	0.23966815595634566	0.2607801022881323	0.2764005154843136	0.24901348888084376	0.35033380448751605	0.20254316787453355	0.2276158762836854	0.2660456726956769	0.21916478341779477
cg08194377	0.29175787085288524	0.2854436596162914	0.2964821971787406	0.2902660877469817	0.29831889653668564	0.2933078733325076	0.32475854552820815	0.309431544185921	0.31578657907496327	0.2803183529667282	0.3178095302195109	0.30169164439874213	0.3258899733925485	0.2919190798201555	0.30145688177276453	0.2915923273609731	0.3129457719903239	0.3085398470746607	0.27712980416020894	0.3065081119534774	0.28042462618986314	0.30742560894955817	0.2645887552268978	0.3001738193066549	0.25238046691813537	0.34937962202404654	0.3013517360403956	0.36522529099668755	0.2777130368133394	0.3123780602605266	0.30417962945050414	0.29817435372845724	0.3013906791551042	0.29856547080552626	0.29774422294946734	0.3048084915172428	0.28102685745077516	0.2855707134435347	0.29368452467078476	0.2889133610687804	0.29424751432650237	0.27440418838958713	0.2905236557970833	0.2719116241841902	0.2976355913176006	0.2777292681230503	0.2999693061465348	0.28871000132529684	0.2946482052648911	0.30552733908881535	0.30466741533502384	0.3011546751640102	0.296361789831271	0.2979270584055559	0.2935977008732617	0.3006242067707044
cg21200986	0.4015590216722561	0.3430454679430846	0.3102342955234404	0.30851246963620743	0.5034192359270446	0.4891630281184566	0.3358924619727318	0.39415336660935585	0.30874700022798024	0.3067054537234993	0.38814723054072703	0.4032744267101221	0.41102638051924584	0.3276063684792209	0.35561386592110333	0.34430863561882724	0.394583687533429	0.37346002539086576	0.3412258923510948	0.4468023434805871	0.3599098045045747	0.5336059448452881	0.2832041558348715	0.4389141592837257	0.3093290601340318	0.4680680875955132	0.29824065308825887	0.2606031652697892	0.444161111798857	0.4893483646458784	0.45208685745338	0.4118939361041376	0.3068352902175074	0.3262953200774123	0.3240636453765781	0.3594299076606499	0.3811949243187441	0.3092966963713397	0.4654681534237951	0.41818654669236954	0.3373858143227478	0.5111130429133255	0.2629247213100502	0.3069802034428529	0.4268050493450374	0.3922751424444185	0.3983180113776127	0.3155516817832359	0.3223497837069511	0.5403943781961189	0.3799458930330533	0.30251282278326913	0.2890604086283701	0.3813792284376062	0.4175271673299057	0.3099415564388847
cg14829516	0.3904872333325917	0.3773172003449564	0.4057457973107583	0.2998506243892384	0.44711739890979396	0.4164992398956721	0.34073727472753557	0.37854371565292966	0.3508434194268968	0.3776783227234441	0.5383369383660285	0.359557016363487	0.457739106790876	0.3591859516494033	0.3596871166790024	0.3749833059352743	0.5719879138148404	0.4615579881596136	0.38313638285534546	0.39840624309155537	0.48013405416003474	0.5106752337470124	0.32324298069285035	0.4722952004644911	0.3888920246104972	0.38405520991019204	0.3383272074084368	0.3087080252566784	0.4158416130050317	0.4318630955182772	0.46122741224504576	0.3127272163200866	0.33233713817922494	0.3112919100376446	0.31393777487582414	0.3374307416400896	0.5003360127788038	0.32680544925589183	0.4894675810518102	0.49367023863540804	0.3281056060499332	0.43996571024454534	0.2872276655039725	0.42767232037309666	0.49908262514232515	0.34697329004452143	0.6068763355925997	0.29114991893826864	0.4433273942393162	0.577257897718388	0.358357061702253	0.340077760321524	0.2873631232798532	0.40591956966746656	0.38976592491690887	0.3505484254142876
cg06654697	0.7227954704044703	0.7705972488869557	0.7644622226043413	0.6759110094756954	0.5661051984881993	0.6436372731971409	0.7542299307115201	0.7039783508320498	0.7520217579511559	0.7509388342466674	0.7233772022968432	0.7188558533435534	0.7480897448739376	0.7627243174366432	0.7451114158274088	0.7442402829692742	0.7309389397140349	0.7724425155792071	0.7285297398308026	0.6873704872226499	0.789803626314481	0.36437965561933106	0.650416376072336	0.6389332600231414	0.7361256818542106	0.7766930165738952	0.756941943938628	0.7710569351347376	0.6255031383597158	0.5861560222890432	0.6742011935022072	0.7283172735079342	0.7446913201605476	0.7084863756558251	0.6688662565010608	0.7538663700867305	0.7727805575221144	0.7680172054581641	0.5829179138196385	0.6237587434777161	0.7567031431477136	0.6170173318063368	0.7376369225309595	0.7530403501980215	0.7223308184995396	0.685730212074585	0.6442885826248872	0.7126432514920433	0.710032421798175	0.34099514779918727	0.6767099082121	0.693613713371994	0.7315612154548468	0.736119254665891	0.7500557237183313	0.7276164136262013
cg08658787	0.2954254367339742	0.27675447460163	0.26918650653957044	0.2736035276931217	0.30703001404452057	0.3348743003080079	0.3220152873050872	0.30781236079229013	0.32757243792004404	0.28741696759394203	0.31739543592742586	0.31368506586859424	0.2811315119775454	0.31900133255819396	0.296927158063033	0.30254214759137776	0.3123533403227996	0.3145686482781421	0.2795763276749587	0.31849422249651443	0.2808311579799487	0.3217629958247685	0.2642712706537815	0.31571993907089285	0.23782497571939745	0.450893809785821	0.31568764498533314	0.3534536695011825	0.28694744640496295	0.32005349916024006	0.3165027167158593	0.36053407851162844	0.3882870964987246	0.25342462677426414	0.255915147115522	0.29963208571519706	0.2893299229298451	0.2864369641906499	0.3183842743676125	0.29444812902932116	0.29225245604444355	0.29135504908172194	0.3203201096545563	0.3142678397261913	0.2786518939837318	0.2954760812593706	0.3153268759806458	0.32285361223833775	0.2912833490618002	0.32676159442492	0.3002474579506338	0.29741886919591554	0.31180007243699953	0.2864844322652992	0.3015366339217039	0.27637559528137035
cg06460983	0.2634897853378457	0.26817269011404804	0.2652843415431325	0.2673998649579799	0.2668110226594693	0.2733403355597074	0.26158747208306987	0.2573387227411243	0.25890707344178954	0.3189985165426448	0.2931349181399918	0.2581384176917476	0.25636923579222	0.47356611701254275	0.24849897710447028	0.25103775895577424	0.24673301542636902	0.2577324101620897	0.2626123244092723	0.26501724756181133	0.2814005289898939	0.2634072011395927	0.2732717633109439	0.2652886907888016	0.26442085743725036	0.26501809997185294	0.3485269751845782	0.35897684095210214	0.29895330950911564	0.26861549308260246	0.24758925469606308	0.2636973420969244	0.30737274971645623	0.24731944410274284	0.4513242576106813	0.26928937863984903	0.27687275067009004	0.42800665602740134	0.2813767204256	0.2789306968006804	0.28626134949368176	0.27034340985387983	0.3983442711578705	0.3224202238681233	0.2591487337465099	0.26558114917203157	0.26522728874436446	0.2570410010364008	0.33355172804975025	0.26329604124855993	0.27789287417459435	0.2566044656821368	0.2635277127504663	0.25614943037419524	0.28032185061232806	0.2600968875306884
cg26295272	0.45499694853819683	0.29530964599214915	0.3035481318318954	0.2944629325956839	0.39524296956543625	0.4065190248404176	0.441681155697098	0.3677144604638471	0.37325989657126424	0.33699690448893427	0.41490175376193794	0.4602925919369737	0.3495893316810621	0.39391667600480373	0.37941951371443294	0.2935279416458673	0.4338745034160849	0.36648632924312075	0.31428533205728504	0.43707518063571527	0.3502437786527548	0.4561305051734069	0.3971975335336261	0.4108991233009801	0.4649943660265917	0.3765616465323807	0.3723936264709483	0.3202550663333129	0.39086162686503373	0.4141346664258907	0.4403218742761581	0.30313828956886146	0.46450825704498544	0.43157372380055437	0.3756853492420157	0.3396370949674913	0.34973865554749306	0.29618404002281484	0.441646965089743	0.4581602147360522	0.45124273518674585	0.4468253246968635	0.4167395492427493	0.475838533281019	0.40099915157872124	0.342901746530894	0.47904569115184836	0.28922696170609397	0.41561452327949355	0.46092691060506424	0.3976319775652664	0.3063663506411463	0.300364482143905	0.28540004591478135	0.3315805459643036	0.3986937077358849
cg13507084	0.5187249883968091	0.5025685960497879	0.4607551201867059	0.5583713932444917	0.5016856724389824	0.49972714221081854	0.5632847110260634	0.5254213275942956	0.47347171695859996	0.4767373762283824	0.5383537916736202	0.5175843038104387	0.49978572921231196	0.5522659677162495	0.5512658585698749	0.4837093739346295	0.49677369711335506	0.5211933983672727	0.5152318146562433	0.5472525525029542	0.5321664548575318	0.5229834319690803	0.512010331115685	0.5546248292097693	0.5278310453328837	0.5117716647926072	0.526204630644369	0.5567119870658591	0.5071033352660438	0.5197683727710779	0.5151793259211381	0.5152864299949343	0.4931076016238243	0.4907312482856296	0.49248494357674144	0.5436457154363652	0.4857638798415957	0.5467651755213783	0.5221017758197221	0.49125766354236244	0.5191117218118045	0.562202290071416	0.564981317018598	0.5233562463747243	0.5270967088426513	0.4972503131463326	0.5126109695766935	0.47805318412299386	0.5079765362581659	0.5464047422509913	0.4839758279952274	0.5500420927639356	0.4981987887137484	0.49101031202417933	0.5105911741351551	0.5499594969928918
cg26491818	0.2750319782911165	0.252414180706105	0.28687088864399535	0.2383189962222319	0.3005335613175997	0.2734844550467133	0.2507279191318633	0.25570837678691904	0.27197861246838007	0.24160378598346827	0.2553320495560745	0.30496677522116966	0.39129573298932696	0.25934713668581966	0.3178266205800847	0.2578478879996858	0.25334832966152215	0.2792613094844855	0.2783770145570174	0.25366781846314657	0.3587477526217382	0.3515797768218086	0.2261613995299971	0.2771276953565136	0.22709080909831977	0.22531161409824524	0.238137635316292	0.2879766064429661	0.28416008822283445	0.29076451501058925	0.3439909078804505	0.2850744266853248	0.3315640574977808	0.27511576284201666	0.2251256567585784	0.23294613262269337	0.23089930728674846	0.27426109095458195	0.28421546734473147	0.2657530023100664	0.2580097258437325	0.366173400210281	0.1909530409295156	0.3983928730688937	0.2584892728129117	0.23973002168699398	0.23505764895685777	0.23354463491020835	0.2753948209725695	0.3170142177619967	0.2846554535152719	0.33079702021763674	0.2529190831379474	0.2557377151911673	0.29143548641266637	0.2702580039485224
