	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.3516814160942968	0.2059587103647854	0.22292800751853548	0.22591274752500368	0.33761714686211775	0.2799020745711144	0.29356451907307135	0.28421436433454206	0.26538758566002907	0.2948943571672049	0.23282517895914967	0.27810837760757023	0.18269515875551023	0.30995522387538654	0.29482496509727785	0.29120769168583505	0.3641572956845798	0.321236787258258	0.25501500317327497	0.2027414371472014	0.247363094198368	0.294407100469561	0.19261058692524613	0.30799196723643774	0.21865222694739062	0.2522109544201848	0.23017366338743928	0.22527701505108355	0.28230144908446364	0.29491117599174943	0.2730700175423467	0.22609459603718018	0.22965203096860332	0.31964392429099486	0.20270491754070885	0.32255071503356614	0.23232188573687335	0.19202121755527063	0.32926938715241544	0.31844418379016165	0.2886083590512584	0.24531418049932052	0.2523452809237322	0.26447268404213614	0.2469953211786991	0.23621005438787135	0.2399887317833339	0.23923593244868557	0.23967181057175624	0.24155174286154513	0.23991644831942527	0.2372955972762249	0.17310494572051777	0.22277697437072047	0.25593768667314726	0.20907217518091165
cg08194377	0.3338943168560026	0.23962753641194529	0.29519041209570396	0.25022277040164054	0.42348025510238463	0.3314686464618118	0.270032003646803	0.3761861431996595	0.2847713005013889	0.23153655507702686	0.27602434359664463	0.2522833903696965	0.22043855864262374	0.3270050424617039	0.46270418277537073	0.3588635440124983	0.49100112430624654	0.35337050335054043	0.33968767719772197	0.3515543844397997	0.2571779366742306	0.6082255144705244	0.27750573360504527	0.3868864960048257	0.2857548189412668	0.23451466474829713	0.20523591737982755	0.23391098446477804	0.37307391487134484	0.463420407311055	0.3813234546569904	0.2759990760071833	0.2509324067336175	0.2372157485021588	0.24452581197097534	0.2635138813221191	0.3110874928212021	0.21092067962774158	0.4787890243831597	0.38247331964834036	0.21743221343744784	0.34962768679302414	0.24940284445466077	0.3085606611143721	0.3343792539799679	0.3013321448410835	0.2807626968316099	0.24274960229548403	0.29659047864294896	0.6005326317599695	0.30224760409302	0.17503070962989775	0.1903582579369234	0.22136525497205856	0.4777115343878381	0.2519171744903005
cg21200986	0.45549620539027563	0.3049940661601412	0.3162522464237441	0.27609845028461427	0.5737735689164651	0.409794237963169	0.3927324983272169	0.4719634169531557	0.3892114869763864	0.28426752744153694	0.3669966352056897	0.24257777445375206	0.3002785633571435	0.3880548988128368	0.3664703985158411	0.3720091052393116	0.4760382303602853	0.33431645188498466	0.4796945553381401	0.3550280419856223	0.34288484583422674	0.6828894234238289	0.41683098358079806	0.4517523872096655	0.40315496160965403	0.3565368687394972	0.2689932465597964	0.3459884222011576	0.46900392514483014	0.5847271815731073	0.4828911759810499	0.36707211593706873	0.4114280121376894	0.29340160225964756	0.3046368988778061	0.31901115088158943	0.3726195223881692	0.25897863427103496	0.6561922277215764	0.4718940799110488	0.25521134064932494	0.3988683497842295	0.49270712105673553	0.4400068312419564	0.44413051122540176	0.2836001425855204	0.32806533625037404	0.2880060056438186	0.376333056236585	0.6859046025678199	0.35622758250055575	0.33774180298291606	0.23847785796607207	0.2808935109113096	0.46581226164550765	0.3129831378903392
cg14829516	0.5346631418455519	0.3426433734215343	0.5074075079258333	0.373984094546145	0.5708293010695759	0.47134222273680804	0.42407988347734826	0.4410411998020093	0.42331255190413375	0.29392302463573383	0.5535906808340246	0.2829413325743972	0.3065431749342431	0.44906110768059704	0.3565218433751086	0.3401375694592884	0.4609534794262784	0.401232864253791	0.35309170377385923	0.40020668294952716	0.37092861531953336	0.5813086661824829	0.3462553049852761	0.37407729520801014	0.4274520853089514	0.3650092335884402	0.3120845178661198	0.3356117029071723	0.45327540219019813	0.5268142187316605	0.48940675454656524	0.33964495505358117	0.34542005339072335	0.2122249519101449	0.42107445237020147	0.36660748485802697	0.44328718382847265	0.4088678940959328	0.5315250432050879	0.48275526937931257	0.3081848429411568	0.3647398105146989	0.39097367014482903	0.4684980521294138	0.5270623662075635	0.3041085895472591	0.4305279092378468	0.24638650519178196	0.4161119919144812	0.6586136635342724	0.35231964346358235	0.33537030075588076	0.30952449229749573	0.32776851149112657	0.40497836071292864	0.33573351022256487
cg06654697	0.5899207473810781	0.7260477928536939	0.697792178486063	0.6744384344432561	0.6108544491291459	0.5949473293867418	0.7642387724297857	0.7199774197641798	0.7764720471885667	0.5953739059555768	0.758823245727286	0.7687101925449058	0.692753221368941	0.7216697166201842	0.5574073870582458	0.760389075662117	0.6531680556514173	0.7683625469304622	0.7446436843320051	0.6672903576192051	0.813339094086303	0.40856310935500356	0.8100362075179319	0.6704336471554003	0.6974466738849712	0.7817632231469454	0.7782331075272332	0.780787538665857	0.614606086579527	0.5215825396138083	0.628018261313928	0.7430026338042739	0.7527354402278423	0.7419575105495704	0.7397990322956083	0.7202712285974057	0.6579747645059544	0.7351615013103642	0.5610621730665087	0.6025281937179806	0.7210249100504388	0.5993577833152902	0.594416633601353	0.5745156063631139	0.7218234224244566	0.7230224234370516	0.685061850133171	0.7565396151040283	0.6589679938299108	0.5113868856892158	0.6946078932953941	0.7749690284079843	0.8084253626615108	0.7750871546228046	0.6378074052006701	0.783189962590018
cg08658787	0.32179791568078286	0.2575422115545294	0.2768301481034783	0.2678544826376097	0.4663051400542386	0.37675991821547683	0.2811176565609154	0.32419997696646646	0.2452303563295372	0.2376582248259153	0.2901353931676626	0.24257979881661512	0.2568688184320176	0.2379743992522303	0.30464084968510674	0.19416700838492984	0.3645910192382966	0.305940099946461	0.32147335833013274	0.3619357336739348	0.2840665696970585	0.5556513248190953	0.19929925675109844	0.35812362637534706	0.37105807065807567	0.2823984245076378	0.19935289052785982	0.2554541668923466	0.36543339694989924	0.43683016552794846	0.3786282571874039	0.20831800086344743	0.2194499728933731	0.15883162233907477	0.22236109135351534	0.27111566991370595	0.4036984103765139	0.28404651914713064	0.4832431743318174	0.4656678179916366	0.18118729610097062	0.3418775036128163	0.3061931476440758	0.3389280286281273	0.3907125811814278	0.29836553967920554	0.362915060898095	0.22327930634732807	0.32169239330570176	0.5783254315471907	0.313445331902065	0.2137467365449397	0.250173299867646	0.21489730992172307	0.3028095449503856	0.2136246281001708
cg06460983	0.19771910237779444	0.38295851265747416	0.31284654638943454	0.3539616474618761	0.15648415112850866	0.2584244612611837	0.27979405251314204	0.31916960425907603	0.33183502362338657	0.33172424786062293	0.2671852561643274	0.2820843234122802	0.3081482550452842	0.30617877939151816	0.2600988901188709	0.31117259232329053	0.20887286647770742	0.27611910042839105	0.3014602465805307	0.20542559585979173	0.2649626115947239	0.06277206392524984	0.3229403104023998	0.20468246016132066	0.22356619687170787	0.16495910710528217	0.3409006783644696	0.4016684246346284	0.20879364171005188	0.13506312344041016	0.20429933397769962	0.2971852179969702	0.282780426140652	0.3139728847424067	0.42451742915516555	0.3417933829043781	0.2701392580678278	0.374161671390914	0.18602323032153387	0.20632780148366522	0.4111647265201722	0.19326768620107393	0.41029415496193045	0.2851366197742836	0.2464953343649402	0.253239126509747	0.3064878224553515	0.31665341484908444	0.2959274445772015	0.0598546246309572	0.31057487412482393	0.369655699451909	0.36613096722246075	0.3436113165114598	0.3037855787355416	0.33659806413458726
cg26295272	0.4759222197268851	0.35131457866421567	0.39254415323260294	0.2831942095116158	0.5691119724305255	0.45859258750650567	0.3585510502837975	0.39627557118923884	0.37975789024753903	0.34335032249280684	0.36530360368221526	0.365305347283732	0.37616397772697263	0.3808010848243315	0.38102503793701814	0.32502907369324374	0.4765253326121426	0.3434251515837563	0.37028741896366735	0.4243949503827935	0.3492001420138574	0.7153599565624285	0.34013112741775076	0.4807205377651771	0.3858399341420189	0.3782144894847115	0.30247680004324384	0.26892349094129675	0.4695912801946982	0.5498859561079918	0.4670401994005189	0.30093219711665564	0.3113771225483546	0.24024199566604376	0.3082675668159609	0.3702303589510094	0.4793992245784494	0.42971415899946697	0.5487917335508715	0.48406030856021365	0.32039551293668145	0.4377602213238355	0.326707237868029	0.39082009781920923	0.4395033252609374	0.3784986112931755	0.44318033811006996	0.3182805826238819	0.39862542490170727	0.7315222338213707	0.3969566958011671	0.3074602073421383	0.26526004889863175	0.32159797430030623	0.456319269684886	0.3331511587514052
cg13507084	0.506507891112556	0.43257367474584574	0.5363300482665433	0.45404828659242735	0.6624618417324739	0.531393113323401	0.5104687507963764	0.5369151462494719	0.42263580671168477	0.4389086004930637	0.43310908879066506	0.3571680818847167	0.5242590251979827	0.49191667700740066	0.5522742295635844	0.5327573791287868	0.5780148178218433	0.5824486959249434	0.4692630922940836	0.5723378036177266	0.5832318696344302	0.47680402624231844	0.479031827724809	0.4485208714588381	0.5035609960021648	0.6821729076919747	0.5393862645645899	0.5970261862078929	0.5907579529681933	0.5777746593064473	0.5695791372783776	0.4413580058820332	0.4408922684893457	0.4006078982495853	0.36984181792906723	0.5572505055988688	0.49336464835929444	0.5729596264682235	0.5725196527101608	0.5194428469308057	0.5349854519560231	0.4804535996492608	0.48696996628839717	0.4945497631752912	0.5563503406783231	0.48485270093737054	0.42510442393307557	0.5247249721405584	0.5194873671628787	0.6783428967655826	0.5039170351926404	0.5104802272537329	0.4021494037958984	0.5018098656424176	0.6290753250021863	0.48766290648431465
cg26491818	0.3416643011588091	0.24267799577538918	0.2426103033567072	0.2108591686491733	0.4399981730939201	0.3350769373055952	0.252568594076671	0.2874821202990109	0.25235475176312894	0.1997987997965328	0.22358990804286127	0.2614122130516495	0.253295111361851	0.28820633508618	0.4060491678956525	0.2660018336779083	0.43800113941019003	0.1974282543470488	0.29375453207919555	0.3676457168293482	0.229909229911489	0.5734710630860363	0.22016345010979854	0.38445082381635565	0.2628877765425243	0.22243689306335018	0.20425618272663743	0.22337133329330155	0.3389762296927395	0.4279149118296826	0.35153062532137364	0.2172030552560787	0.2225698081464635	0.19692458472172086	0.22804243608200409	0.24118838916816016	0.2832838701575604	0.24574272536354091	0.44193490106296385	0.37439901142947396	0.20247825429448985	0.3455472396367493	0.2544623806046697	0.2732767065440295	0.31432412428823925	0.2533028294691117	0.3243587132392136	0.20114811451133363	0.30578574618298404	0.558404630500057	0.2621329879576493	0.24892641120156467	0.1711105041548059	0.23159904637514683	0.3337247858438367	0.24273846556867473
