	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.21951559164081305	0.132266642411758	0.0686665593229264	0.130738492022963	0.307595862155073	0.4001212932495061	0.383944578844307	0.18928927407650306	0.16522382845105202	0.863316974092726	0.22466458076602	0.3761382561846249	0.0502803087248486	0.154803690366828	0.13675231160586598	0.0631611592822606	0.22945141910404002	0.16795428812277102	0.0855394845620603	0.191367297102087	0.0926417265853514	0.4285746905801339	0.198493458200428	0.279944196303551	0.20474382880315808	0.142879094226273	0.157782328809665	0.184949579965091	0.954248284484254	0.261086469702746	0.22451830982539805	0.15747242183283	0.0504569691711516	0.434488577873656	0.0634057171439247	0.06999650590135299	0.175440314869207	0.124569308036319	0.178718510177057	0.40395728417113796	0.972863694725703	0.25342207113818205	0.245632744816559	0.9372054094500379	0.13085047860708401	0.11774512041115599	0.186230031518564	0.10262050793677001	0.23541884312180802	0.333674344284771	0.16140450798203002	0.675466927049002	0.0462713530110592	0.153014496702183	0.31662335831717	0.11703528753938199
cg08194377	0.50609771425745	0.262264059039708	0.688535347923968	0.448490055299756	0.759462515420095	0.5659536101154351	0.752729261996733	0.544601201067846	0.630897343349936	0.149268030502708	0.6583673545847459	0.4394997334999529	0.813284283557408	0.243213018555227	0.4032684734662729	0.237729730712011	0.5960654679238411	0.52212890264556	0.3678595631797151	0.8055621838594941	0.41694857971536303	0.819231822099938	0.181012518659288	0.7111885898738621	0.26700965589396897	0.793005180721361	0.5325652514587079	0.8789311968645419	0.404380114252141	0.592357495924674	0.607896428160271	0.31788293074715196	0.47320931857246995	0.33677119444541204	0.297110573684191	0.638266139028959	0.406099339462979	0.531422280432724	0.755207252292006	0.623614997739094	0.7707349273553221	0.33153640065587703	0.575905481883769	0.293749443470733	0.6837215222631561	0.381944187646284	0.618720979147545	0.21887329292155605	0.42975461670507603	0.8161014255625642	0.785563259242052	0.4778725730742941	0.3654909266672821	0.402192714261846	0.300679681174997	0.465434363672669
cg21200986	0.44936381344204096	0.285255985997409	0.19323337108973496	0.188404317176866	0.7350422144116341	0.6950590798733499	0.251121325403933	0.413104757462252	0.17564850043412394	0.169972366299835	0.396405831486527	0.438464140883215	0.45076202246674	0.21361252340319	0.293233274179146	0.261094346871194	0.404018126014516	0.343966997118814	0.309246636093998	0.597512669941453	0.36026120606312795	0.834521298488619	0.15082403632353195	0.5759747649601761	0.224201751878945	0.5858994518821129	0.198936060200645	0.11317647734606899	0.531425777084148	0.634388014446949	0.6066905191509471	0.476814877754229	0.137338209705218	0.200219527479898	0.193008302880392	0.307287530260687	0.414458258497967	0.167120366229383	0.7043675296521709	0.5417135493541061	0.263750052775583	0.6850755793461969	0.12458614090969501	0.224077657195198	0.494680883634719	0.416701194651089	0.42697754833443896	0.19150014094040602	0.21084133226835397	0.831197170907366	0.374707273485775	0.164601133610802	0.127544410210468	0.381850658213567	0.4814256607075471	0.185064711755298
cg14829516	0.4200822595427121	0.3825142873182621	0.463607838275502	0.161538214095061	0.58162175526514	0.494282403231151	0.280657231783909	0.377019341074926	0.306416054783208	0.37481360348076	0.7843047563148678	0.328625513271473	0.615085324147525	0.33424146072404	0.335669615133945	0.379258690290611	0.940656598959325	0.6259678717028281	0.41364793590552	0.45858747355126395	0.6991142357744521	0.7889976052724741	0.23738032378746696	0.676044315336346	0.42288554879808	0.4093562559673621	0.281448205991617	0.198598931506855	0.49826757098594104	0.543082049508397	0.630886647664746	0.212423055434033	0.26768249999857296	0.20837845859588802	0.21583432825212093	0.28203593292407103	0.8382985972264742	0.2153532011824489	0.7992827641126979	0.814369594580497	0.22002054434402696	0.554734300365937	0.15085592035935902	0.522227439390316	0.711054514235741	0.308838603016474	0.8982229454599309	0.175697397206622	0.523948629836527	0.83044249715205	0.32949788747491104	0.27122094084304393	0.121518673955325	0.458202558629484	0.41232844522629797	0.300956179254526
cg06654697	0.7752745549277149	0.86373161274063	0.852378763708793	0.6885149906905059	0.4853196435911529	0.6287925316845739	0.8652825642502808	0.7692384594049878	0.861062160103354	0.858992405519263	0.8063148125949109	0.797673314875765	0.839804115018698	0.8670406585040441	0.834261118238855	0.8326398445138841	0.807884586891391	0.885127290359879	0.777144297526598	0.70910558215961	0.8784337101790122	0.17518234825589002	0.648018218058683	0.629035937893506	0.8047125279329309	0.871757503961827	0.839115226609208	0.86244284359293	0.621888444761277	0.556860104299847	0.693914319814527	0.7952109349259749	0.825860521914004	0.7580906773828021	0.6839281741071559	0.8430347426059408	0.8703906177623071	0.8612309404721411	0.5052946680142211	0.583829450853765	0.839474589437569	0.591905204375501	0.7955640439951751	0.8215717943613771	0.7697206186659209	0.707922721747995	0.662586521396089	0.7688157024342349	0.7647582429394241	0.1912417876750369	0.712972119371761	0.731177408464893	0.7986869131019741	0.806795772772952	0.831589081172173	0.791669017253076
cg08658787	0.422809632732757	0.30124729139073997	0.251973991476974	0.28073220058140697	0.49836436730697103	0.679652112801525	0.5134486490393501	0.426526202514818	0.547458620626693	0.301705626062995	0.48517498417427896	0.46246737932013704	0.146261385652935	0.608401991270071	0.33902198858516497	0.407543957302628	0.527273876304216	0.554308167579248	0.337509758318545	0.64703761223111	0.34748986986129105	0.6730353286507739	0.21578319845461	0.62497274981203	0.234793204636316	0.935237966462413	0.4907597755714171	0.6149122081082	0.39627893965908295	0.505112131236708	0.48995455290723705	0.697613397529762	0.8285010061556279	0.19246833526483892	0.20421402187279197	0.41038999712765395	0.39982395176006397	0.37705698533361504	0.62847548237606	0.440103138895251	0.422823662194496	0.431023279540919	0.638614085974789	0.595237839892877	0.33998054878552303	0.46055846352394	0.526145058332151	0.593403635990585	0.31129318002949297	0.6283251895544429	0.39139605506010494	0.410425476682905	0.496073440759122	0.345304899097875	0.43494902727852597	0.285101222650381
cg06460983	0.0350580925088016	0.0528671596614963	0.0418827822038919	0.0499281088459316	0.0476887440632409	0.0725196935397742	0.0613230378448373	0.0462490136523249	0.0518133231706044	0.265010147497852	0.17324937823380998	0.0490862299863922	0.0775170147869029	0.740249858402793	0.0535024944548449	0.0612490795171246	0.0481140155868747	0.0816764687413619	0.0436430223862833	0.0528044768887918	0.115215904566515	0.0466710721567072	0.0842497105529434	0.0538385285471409	0.0487365274549469	0.0519852847440024	0.506239714610885	0.5630827484120239	0.236579068596254	0.0715536450214925	0.0502264224102994	0.0966679232115176	0.222589233884786	0.0494485268989311	0.637618275063737	0.112790418894946	0.0521089882415376	0.6718403957664089	0.0705777197246058	0.060547689333167995	0.090607361918013	0.0781893709177905	0.47183365908946096	0.238342514998597	0.0437621001736313	0.0635438701211827	0.0692220780644703	0.038795181341245	0.323171210147245	0.0620439931744575	0.11629768468527099	0.0439924227731911	0.0689953884235701	0.0423490851800236	0.129646589795353	0.0566051321932288
cg26295272	0.834138638218458	0.21777605903776293	0.24957504555558802	0.214507906563826	0.603499658107066	0.647023084212078	0.71669301548241	0.424972835236609	0.4468437004374389	0.30382464905018897	0.611076671061931	0.790095396343264	0.405309525812831	0.578361647238739	0.521765324420892	0.186448174570555	0.7343553551087809	0.471274706413026	0.281479585437896	0.7760346456607521	0.4263077770793571	0.852782905255557	0.6154212692909411	0.670606536077995	0.9283530933767908	0.495684496429916	0.475291915467341	0.220197219854619	0.565649012530791	0.6795153894903311	0.72352401935554	0.21637932863446802	0.812937017529701	0.6911835751486209	0.484573633508235	0.35130928701885605	0.421254470458394	0.21587655426679292	0.773715913968932	0.837042982395889	0.810514969427896	0.780058261610533	0.6620339106261091	0.893875009274001	0.600285453406948	0.37237347769248	0.885782109821604	0.128464941815576	0.632711653830934	0.8134938608617741	0.560966939104407	0.26912668774169696	0.24782180771433399	0.19470243019296	0.358629716105826	0.59686183672922
cg13507084	0.6293216514459959	0.489454497412818	0.12747196173352499	0.972543683604366	0.48181095855713896	0.46485580896573	0.9833462072581759	0.676751092184091	0.256094103629241	0.2825374662889989	0.7814704794447991	0.613291543906269	0.517449887888077	0.9776921965165692	0.96892141811446	0.376463126427812	0.491034904907711	0.705191318855371	0.607740896224938	0.9080819985322472	0.7665807246380449	0.680447818206157	0.577524730617888	0.9772308645964548	0.717519155116529	0.5695693414058921	0.702535529217727	0.983589813225978	0.526561550285761	0.643240393209285	0.501339090528308	0.503109115508847	0.136577023268794	0.0973048964289155	0.12628684233909898	0.9717807717997808	0.4291237328255461	0.969802894539015	0.7512012053930051	0.477817360278285	0.724699147093042	0.932801668081357	0.955724265944464	0.612382954928938	0.643235882447787	0.397050099001665	0.508444798242509	0.126289005220619	0.4571951155213211	0.882151788606534	0.19178430927626008	0.96920289293127	0.26772111676424304	0.170455221225396	0.435400100494512	0.968085305438784
cg26491818	0.447546245377761	0.28462223289798	0.532826112740164	0.18308962327390305	0.631243186498778	0.43639888695631296	0.188036108466786	0.22304344859770997	0.33740596585212795	0.12390312016570698	0.220398266912985	0.569277796467717	0.9398879097364059	0.28601451286362106	0.575810538380673	0.27858496182160397	0.25628732791396597	0.38469951731659496	0.4572615587425801	0.312182685465102	0.929154536507296	0.8870681064679159	0.150680050917251	0.44992624029335	0.172919893197728	0.16370101915332	0.23015886896468105	0.4883988017997271	0.46862356594412496	0.502844311106558	0.82332599428988	0.443572405804397	0.743227167430861	0.37938258566745103	0.057165070485532	0.10757293111838101	0.186075502683483	0.451402660037928	0.5123126634424661	0.399342371377719	0.35196190499376795	0.810005307395775	0.0501932947886194	0.949719337308345	0.343052186768187	0.261706021222736	0.14202983337135	0.13157162556586802	0.420847157083575	0.7085274342935219	0.484858208240877	0.701400318461703	0.246616723342375	0.26307668192050504	0.47154086757617103	0.3478707759972849
