	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.23956489353331512	0.22656477162389577	0.216192125958529	0.22632260257512604	0.2505656141873468	0.25929784986554394	0.25171063148259476	0.2262382169985275	0.22329925555804617	0.27738400587019774	0.23070776376875332	0.250696252733833	0.20889931532131834	0.22875695573838173	0.22558297049791443	0.21152531285942566	0.2405879648511109	0.23099513779238579	0.2164863253409306	0.22513112563188087	0.21716380927608525	0.2361546260616103	0.22560765234406133	0.23025501476636534	0.2273901110663256	0.22068810467047043	0.22229720072658302	0.22524185817727185	0.26458157047115083	0.23346603726674067	0.2412206818878944	0.23077627765432188	0.2102587147396844	0.26147846357510085	0.2129716054516693	0.21432972558701072	0.22428025487240155	0.21889665757875398	0.22461746272498473	0.24835449823441358	0.4192831860638878	0.24625095112849543	0.24517346769527087	0.26749315029772497	0.22576483019156385	0.2231381197734224	0.22771245150357244	0.22573897122087927	0.2290732241164386	0.23243856949250463	0.22708945708801465	0.270246306352854	0.19665918807271826	0.2220013384041049	0.25113692302542173	0.2139186817246706
cg08194377	0.2804309550701021	0.25737184053382123	0.2740481530475929	0.2783470620822115	0.26686337062846377	0.2804361935453734	0.26659234552780575	0.2767847481796394	0.27481688271211546	0.2735624131482758	0.27358025030660393	0.2763818588067305	0.26059575489521336	0.25633315191044126	0.2743851907559076	0.2554418688126976	0.27694267694805674	0.27821125070155617	0.2710839762511885	0.23895680607244182	0.2736994630033529	0.2366330745498992	0.24267234391079137	0.2538901259065913	0.25609958716382597	0.2812233087040995	0.27706835343301617	0.2835015934301205	0.2708012568834005	0.27842407904755373	0.2735934631851402	0.27862032417842664	0.2804530039975275	0.2795498030812349	0.27734759603979264	0.2713379529151132	0.27297021758266043	0.27646395491484393	0.2636007722288591	0.27366660250472935	0.26204752431068473	0.2573858948474226	0.26417311939917765	0.2540795161867684	0.26091472426463147	0.2607771788492408	0.2726664594823546	0.2503297437591413	0.27606942142413005	0.25055089561587807	0.25476363971630456	0.2777383833054973	0.271281773775041	0.27428337840236455	0.26377704664500573	0.27741488107784956
cg21200986	0.36952281160068123	0.3126738190021494	0.30919066372805437	0.3095770481389315	0.5849895509082326	0.5496462686196524	0.3127430037877813	0.3628901344352874	0.31003222472878933	0.3103689457494857	0.3550880781619211	0.3757863677138248	0.38135582562267256	0.3094754433995446	0.31941809620902095	0.3136006633814086	0.3575171383090252	0.3334817907257088	0.3094601731933545	0.47583457377006166	0.32217578380121925	0.7343137764775945	0.3182845673812179	0.4562459917158962	0.3093160287492538	0.47080661253405975	0.30926894711112074	0.32108202232033034	0.4308769738896221	0.5089694089760368	0.47524681478096154	0.3869751378322691	0.31591767818581784	0.31011235162039286	0.3103543435957613	0.3199809034797111	0.34608292482286773	0.3116285723317379	0.467866765517568	0.39236613560905165	0.3151776540773007	0.5421204832312352	0.31737246799827545	0.3062835831956754	0.3962637339024724	0.35321869164059905	0.37097208880649224	0.30968182083970075	0.31018322907087925	0.6716019720909625	0.3472985756689131	0.31156936379759814	0.3175032329537556	0.34522413174448674	0.39698062588921645	0.3097347460250516
cg14829516	0.3810382060026575	0.3669065940579165	0.3987567352803568	0.31749156950881263	0.4505266284985	0.41188277689163455	0.3323409968017697	0.3653985099510025	0.3396872155820099	0.3644841544108098	0.5576092490393709	0.34693717545647057	0.4691868339739771	0.3481337951281893	0.3485540863029013	0.36257909731751203	0.6247341687303587	0.47485909966477147	0.375740093776731	0.3932721820194598	0.4945233000686369	0.5254620049196126	0.3260421637685671	0.48548565705785074	0.37877150630446105	0.3736069786855208	0.33449032559018216	0.3208150594908786	0.4099675572145794	0.4297691051051889	0.4671637413671119	0.32233432519156135	0.33194531026330143	0.32179921062991124	0.322803801937396	0.3351219856436254	0.4852966207661668	0.3248180111186704	0.4838227249304085	0.484687472164889	0.3255944466614937	0.4611932745865695	0.2923593842489763	0.44340798534633247	0.5335583701879909	0.3345342294008849	0.5895965738391684	0.3187618586296139	0.4363944840397842	0.5727647099438489	0.3522788229988798	0.3522889778709833	0.35489529147746285	0.40134357352163735	0.38507502015886647	0.3566208581855517
cg06654697	0.7266632057155995	0.773281820434244	0.767357973575626	0.6810704627474173	0.5846571612405338	0.6507021822026235	0.7659030034411763	0.7106650521612717	0.7635583583702367	0.7624052015354778	0.7323998322947606	0.7273724063902666	0.7590742202615989	0.771743985880709	0.7564259443946671	0.7556470271895265	0.7435185066444344	0.7798284478835097	0.7330864762541472	0.6989510243142102	0.775756473438049	0.39274491485481	0.6652696391862224	0.6543269378455693	0.7276048627775502	0.7790287558912947	0.7542620215027842	0.772025594951339	0.5864824735421941	0.5412688143124544	0.6896746813386692	0.7406285591130324	0.7544491226357444	0.7228269524966375	0.6842851735238824	0.7618197839674963	0.7775555156120304	0.7726794850451539	0.5962140837474759	0.6306309324275889	0.7610743772163722	0.6100045956194264	0.7409995031207763	0.7562835736052349	0.7252965528319553	0.6861357829287396	0.6465123098179149	0.7144966634571279	0.7119252045298943	0.42075116737374074	0.678836828662039	0.7027365963145052	0.7398200417128856	0.7441018011666874	0.7569263839453538	0.7360814649959285
cg08658787	0.3034885313522847	0.26185001080896175	0.2418533497047833	0.253707396250178	0.32248438578954375	0.3423044932055782	0.33866915979015316	0.31705731401827747	0.34426644818493307	0.2693129946982655	0.3327750137595579	0.327239729668338	0.23923612383716455	0.33890870427541664	0.2962314665053043	0.31211544694235016	0.3319560234725998	0.3348804051818739	0.2792681117467296	0.3066242550257797	0.2827025789224592	0.3013157033065962	0.2261462298274303	0.3102457886531841	0.23197429811669518	0.30318997807043074	0.3261797799632246	0.34511854483557	0.298918542141074	0.32938907608046025	0.3224029934633577	0.35211026379890736	0.34653351283208483	0.21725877807530442	0.22221446659543137	0.2998958901291658	0.29877486619185395	0.29179437779955447	0.33454587801518426	0.30964962384848943	0.3052185022493921	0.3058140640256134	0.3396927846943484	0.33649696463607126	0.27706207254745896	0.3134385191440824	0.3410877552437495	0.34026417638302614	0.28750554627294395	0.3366916340294506	0.31745300494082623	0.3072378352182724	0.3288749008878472	0.2847575587644545	0.3143846786353336	0.2598170130333063
cg06460983	0.2285003957696789	0.24508218030763923	0.2349303639395101	0.24239009922347793	0.24032697048187596	0.2626153277727143	0.2508007135415776	0.2343121983509975	0.2404621070937978	0.4104117467281977	0.3542123275843383	0.23745716786664442	0.25159324146797174	0.2866073047727939	0.2260165833747873	0.23441345981706546	0.22009621648729122	0.2558841611786182	0.24001018988370798	0.24812965934460368	0.29891153276912635	0.2427114664288717	0.2747396186860159	0.2490360215979373	0.24714856746746777	0.2491532658316195	0.3554363810049494	0.3489826564292455	0.3333049346201519	0.2608667408637952	0.2318160577909927	0.26483693662946006	0.34156794256577516	0.23124530115719558	0.42370694705719014	0.27577173934339516	0.2524144511448974	0.34138556101292933	0.271073768145012	0.26104806890642257	0.29030377891974984	0.26855118468110106	0.4353009240677541	0.3968443230089611	0.2315319929619488	0.25315910949085274	0.25585516428166316	0.22675725694285181	0.4049533203183369	0.24917556607963737	0.2966393707219071	0.23714837116301435	0.2595775429580963	0.23563114584684353	0.30844274525294846	0.24861866336123295
cg26295272	0.49300222732054966	0.33965290103312995	0.3420271460397988	0.3393969183556891	0.38924040052806497	0.4028541686005376	0.44048693533475225	0.36976353121729444	0.3729768841044314	0.35321598970475554	0.40592905027020576	0.4725673946635758	0.3527571384327337	0.3846123894976965	0.37086648406056666	0.3384222548522682	0.44393966022023745	0.3615326983624949	0.334019531348241	0.4027998848955287	0.3696648913952862	0.4063005654567848	0.3937127241619182	0.3974767995384573	0.40980146660668665	0.390961833235605	0.3879712253161102	0.31816856224280804	0.39884087442818056	0.40548360882272244	0.4345730728960555	0.3536964056819858	0.4902060587706305	0.4178708120512675	0.3540817825168492	0.34609183797858	0.3428048964160445	0.3391184508104511	0.4644811056252339	0.507933720579178	0.48895572085796235	0.4675166961822972	0.41100549760005456	0.5420607477956245	0.38985467382622807	0.35017463922302183	0.5416735104991451	0.3614078739789842	0.40232364209199567	0.49300639876840135	0.37945533722816116	0.31262580825392716	0.3077344110213499	0.2950798234933144	0.332596473731798	0.3942316920621197
cg13507084	0.5513312551395504	0.5310727481001887	0.4291582205188742	0.5148982202115977	0.529471245359695	0.5257629148394105	0.510208696617974	0.5501234654539124	0.44051413164465053	0.44567217927253416	0.556260023032523	0.5383239735816558	0.518503796275327	0.5148244133611732	0.5167065598714298	0.4911435234200927	0.5137716189520893	0.5398942337286985	0.5447393807084713	0.5325590971020593	0.5531514690698516	0.5523030105109599	0.5400619650531167	0.5125125918499642	0.5541313381541277	0.5410669632961662	0.5539084931761797	0.5112308993857342	0.5334190552612759	0.550461328669221	0.531369163099206	0.5316599994453696	0.4959148126952383	0.49900082602199547	0.49655115929846894	0.5144587794920287	0.4805101441872293	0.5157666217073642	0.5378897470838189	0.4917626622036065	0.5362428965021329	0.528026984349222	0.5226107828788329	0.5493025856713707	0.5518056466274366	0.5109156843782923	0.5341111796602582	0.4286302539935203	0.5228386721043516	0.536663320649917	0.44697355734771516	0.5150972472388755	0.5133562395702898	0.49670043757235494	0.5403749713368287	0.5153715572629922
cg26491818	0.26144549683236934	0.24113696060983986	0.2787885402301599	0.24415738534025894	0.29852105402575563	0.25937068849451367	0.24564248723779342	0.24488607380349953	0.2542601984505258	0.2520401920889413	0.24487839975703457	0.30346608277457326	0.36755324510369786	0.2456158935448048	0.3107442243244943	0.2450499023951483	0.24383541357062516	0.2599916491048347	0.2596025381562961	0.2387566594227164	0.30772273117511206	0.3136239930864293	0.2475024759953599	0.25812967566520983	0.23478689879445658	0.23550943172209426	0.23327321680350654	0.27464143682486086	0.26985262872551563	0.2781698853420125	0.32654691248300055	0.27477320226896645	0.3281143802333915	0.2614389140690612	0.26564785946150843	0.254658345367395	0.24200702519280926	0.2584424439184514	0.27140771174052825	0.24895559174546245	0.2423584223994859	0.34025703149098974	0.27231694928603567	0.30097254138520324	0.24197394630377211	0.23177230814233163	0.2391849680090517	0.23963402880354084	0.27061127586197326	0.32014436000386876	0.28431924643612777	0.328147575555295	0.24374841610796555	0.24446880520481923	0.28087216488736605	0.2541839337078638
