	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg00000029	0.324119401017277	0.397956257404193	0.093861434522651	0.0871574817785868	0.5161272659055429	0.16281924928714198	0.0999832507501863	0.19890567584158	0.23373307422348	0.5222927688703529	0.0886676958606655	0.192883014368755	0.150536722410131	0.527882984024638	0.11530865812814399	0.8211807144993231	0.141602349635503	0.52802856872194	0.266833633131297	0.37811740238640895	0.27604198423856	0.592796075521194	0.11174133262868904	0.367547994869689	0.117097453911685	0.15831667770781602	0.831637327983602	0.10997871703929901	0.266374841186244	0.4810108952016221	0.3358950653391169	0.0635706097760798	0.0889942855552339	0.0774740966658665	0.167672491176916	0.456281417497324	0.161460638276096	0.12919866395180402	0.352969088158802	0.20676997188318305	0.0843409825169426	0.235356516658084	0.39592357675581297	0.218962977251453	0.150085675878494	0.49911417119704904	0.0837595971777453	0.0742875608606557	0.449523228287182	0.569682273481695	0.543513513218961	0.0983446521415224	0.0738716983483414	0.137261310759663	0.237120887087543	0.0843073252580473
cg00000165	0.117277900894714	0.15672387175650102	0.0751042792688162	0.12449361538789801	0.101659113103501	0.178171621970781	0.0845799269115367	0.10146091378039099	0.0938177984104709	0.107322159104496	0.0974275883939178	0.0961491079523571	0.058290369199466	0.12965537687847198	0.0937466975182437	0.12543414306314302	0.0903685283993924	0.16888434235009395	0.0651952121986579	0.17527529366739095	0.11525260446758501	0.20493951407794397	0.0886555243375286	0.120952991133346	0.0889198677847341	0.114981533561524	0.15819661750732	0.10763401641851596	0.12136147360244195	0.21026097700544	0.131600586584602	0.2803655762386989	0.157879604181607	0.48112441476203	0.10599041714485198	0.0992331491783574	0.12275838589692499	0.0794332162075645	0.130648601257734	0.127094011772764	0.0824617866320426	0.5262773881649	0.160773074002566	0.18708960759624801	0.10148380716496302	0.102434957954423	0.6528592507578239	0.0986508762991525	0.111812417390127	0.11354118402611801	0.10546995522554402	0.0764830499969879	0.120351636456364	0.0797409739797421	0.0839374436134535	0.10315801827371901
cg00000289	0.74328767708611	0.710944837650197	0.67797812379425	0.6736901339529251	0.593873118472452	0.6022170010416539	0.8104699459780841	0.7128376995510359	0.832482967461191	0.786641483053884	0.7435757029792259	0.6940451652781939	0.6426388549345501	0.738124610691731	0.6944850212656439	0.737627064672751	0.7242670586057091	0.8079477581549419	0.8167233443443701	0.626358619781629	0.76556599625429	0.544094712902659	0.7875004339218641	0.781659575684468	0.8711291512483442	0.826059909761728	0.724872120019453	0.7281148822921999	0.748235591888046	0.768887914577782	0.7265214918470071	0.563462555693802	0.75416388065478	0.763704171529914	0.615882405884254	0.7712697498193071	0.760001293345341	0.818857109812842	0.694666507915483	0.568300599789652	0.681361407630452	0.633722214952541	0.752495550161242	0.820223007233925	0.5972329492291201	0.558915068827945	0.6526246492003921	0.688216172762315	0.81174145387879	0.7278891277731651	0.729688798391062	0.752902046750263	0.6735076927755171	0.78104443696401	0.701537040404216	0.698796762003272
cg00000292	0.861477175984813	0.8160939670539651	0.8531007949145409	0.8775010081996941	0.8251025569182271	0.754131880428489	0.8926177651254742	0.9110520009815541	0.841356874760326	0.867143860001428	0.9068875770205308	0.64266233171546	0.892475668866522	0.905186443596565	0.8064509381773319	0.6682259098994	0.8672895200837779	0.8326514898112859	0.886208801758212	0.8670065126327979	0.59708663561845	0.8156254081595391	0.859472681529886	0.625604323222252	0.892692338246463	0.917378472434202	0.871227498230893	0.8983852560814529	0.6844244668521821	0.736060154120248	0.669725058621236	0.878432667058703	0.446465808810718	0.6403753514408119	0.723347012813995	0.6534489197979929	0.896226731159706	0.47783993236839295	0.860411310462633	0.915134528657412	0.901729047829437	0.791240145697836	0.6707534996514929	0.8510313868246171	0.8538756619094481	0.596534054156934	0.8996699242393691	0.571141163485749	0.7734793233430921	0.8247537659317701	0.7455283996108399	0.499491628190694	0.38992750061758397	0.463049258100951	0.789484756328654	0.7599386310002059
cg00000321	0.43486223473824004	0.12006036838794194	0.129201280003027	0.46902078217817	0.20650881723664	0.6548145942358571	0.19095760679071105	0.215878454507224	0.16149694768606698	0.21047598128808487	0.265396625051128	0.6667133212509699	0.21830967527485	0.318453360320143	0.6894384066275812	0.17152106549465998	0.5184158890591729	0.495474902638677	0.7660372273059659	0.69346551119523	0.52303479379819	0.3294709482595	0.18153713914248998	0.43683345686485103	0.5051070643141999	0.15548969233537502	0.521811309714363	0.8572628641444642	0.4487382673824461	0.330127162145635	0.518325797688961	0.848684010988396	0.644643764780251	0.5267635674734171	0.103437428143795	0.549368889466523	0.521602235409067	0.598866165384021	0.269948699816929	0.346566628683737	0.5548001370276011	0.742091343598813	0.180572661742992	0.618011691709667	0.25453789244176506	0.200895114718867	0.165217949794695	0.123756141752526	0.244321126910365	0.348280689423464	0.493829316114968	0.5598140665029301	0.474780812901648	0.7041059714295171	0.24704572510119	0.518541121032405
cg00000363	0.180848821279388	0.120469935346018	0.12594639585409598	0.0981604061311202	0.240775970466557	0.148042049042919	0.153549156450409	0.348575289451058	0.17273852003966902	0.105452969684461	0.10688629087436599	0.152196148235329	0.135725288346213	0.0897263669593874	0.136480492812731	0.262876425966713	0.17695373319031302	0.123261232590401	0.17955398589791194	0.167782470622655	0.28495072070924	0.383667385412253	0.0857949925237251	0.23429306931754398	0.166564921913622	0.121134220608584	0.131443862188853	0.249938192826173	0.198442907418392	0.28041754108934697	0.307170587933805	0.075618774847013	0.11857420016242501	0.0785357011894446	0.0792520356627807	0.0963399816272194	0.20631114353250601	0.0770781418489637	0.33125691894360604	0.19082249871460105	0.0841218456195029	0.0901428242752504	0.642987328295113	0.0999552788566253	0.141923318631379	0.11192847737155401	0.0951607178633473	0.11235732893391599	0.11267644611989001	0.335258775340687	0.119102473585719	0.142446734374594	0.146838817472925	0.15084546840757299	0.199692485856314	0.151329962819279
cg00000658	0.827518944567717	0.813968116040055	0.8537247603665401	0.852048160779476	0.8176715933565151	0.827317236968513	0.885701813202356	0.8126995751021979	0.8302327778787321	0.8176501852206801	0.812771420941785	0.8476573529321921	0.896118202997289	0.8554253888517371	0.841098527294585	0.8661726710506301	0.855575097666367	0.8848848059175161	0.870804159121322	0.864571118984587	0.8718955144600551	0.844987911360565	0.8710513670762471	0.8738917675593059	0.807576115538125	0.877709188070537	0.8356737357688381	0.885840797011391	0.871244021772711	0.861433243702908	0.89528795281668	0.8322461699638879	0.896479361722641	0.8703906855157	0.894464838837618	0.8884573423740859	0.8617202951832059	0.8259586397476941	0.8901002063400709	0.860961042792695	0.8498755956882231	0.8210533487042759	0.88421059408811	0.8708083120143459	0.8804587614861171	0.844686831835854	0.864826763503254	0.8781799973384091	0.864970205278918	0.8442748158077641	0.8569188618176942	0.8574440130707759	0.861111790861064	0.872474653162888	0.8732620426256579	0.8680595865666421
cg00000714	0.0975328326394539	0.159965878391769	0.20673781640451105	0.230798307647992	0.19444948422367608	0.11144215408442698	0.28764978748578696	0.135814524859527	0.17002318294714	0.263558056884936	0.20421238105434306	0.28432577759150396	0.171502978597781	0.260443063534149	0.218251289207377	0.16814984683676906	0.199045327744004	0.124854526643479	0.13855865601664902	0.102729355190019	0.166170166798815	0.20047268044950797	0.3021845202157249	0.125400642930645	0.3740882643385779	0.119280638627366	0.14076012654744102	0.126973777396368	0.20026594259939	0.22397857225310397	0.28864769735022305	0.0541957056314226	0.21966233559485104	0.2861362009487069	0.12421080333616905	0.17507739399723002	0.139083227940943	0.15348213464210098	0.17848222518791199	0.12565222952454	0.150654676676677	0.22796315713885001	0.19889179521525305	0.43392089838139797	0.139496942832198	0.126114364302915	0.12219039633619802	0.11468164796065401	0.4059487261707561	0.23822332875218105	0.31839540791741106	0.117581141513217	0.0979292905705251	0.16117161579804	0.228048531100349	0.155978074551552
cg00000721	0.938409884978313	0.9384490094754708	0.943487587468632	0.918920562722396	0.9312215709586801	0.9308847050159841	0.9501478092184108	0.9410951410981659	0.946945722157505	0.9634214718328	0.9369327844271301	0.9506338179889301	0.952102994316345	0.9470372124752541	0.955358112501479	0.954700367930942	0.94401563923795	0.95088791273549	0.9557382733301979	0.950716797617195	0.907980189042149	0.9177577176239301	0.9414065575509888	0.944698386772162	0.9512287279929659	0.9346351802756868	0.952390173281804	0.960874621771674	0.941608038014376	0.9502509787814152	0.956457794185527	0.9288698682772952	0.936192173402386	0.9344030525137128	0.946546650066751	0.956015220400663	0.9470264534863899	0.956592817212504	0.9491033729785908	0.9288149850712359	0.949596415936165	0.877357596826042	0.9572798333994201	0.9453088945326659	0.939640988183749	0.91181029055508	0.906686962573034	0.9514173543034379	0.906074016805235	0.9324162705698472	0.936795853500481	0.939523712854387	0.930110059771173	0.9595758190950892	0.9585022022238359	0.9416466345172791
cg00000734	0.0578209909198326	0.0636132361958773	0.0489686782268777	0.0656618998634025	0.0504981142221757	0.0592462289600299	0.0732144357248123	0.056459983090977994	0.0710617509824896	0.0697293729949767	0.0639458816109135	0.0510839087970763	0.0576925668926603	0.055740473823129	0.0599941842705896	0.112318862555675	0.0745796641259494	0.0798961791833808	0.0603392440795721	0.0621156853999625	0.0747908938349182	0.0435287925211328	0.0455672075992551	0.0626311781353651	0.0601391432128047	0.062862711354276	0.0724234845999767	0.0813502166524603	0.0663368681647241	0.0671814074368596	0.0689744140772999	0.0577739128151824	0.0706721166492003	0.0796812313984301	0.0448500527652749	0.0656323277534498	0.0716444001263287	0.0561016189191496	0.050798438731351	0.0468773612151634	0.0572439903138534	0.0572971074112938	0.0556252571032311	0.0548215339243522	0.0634412116862482	0.0709839223479573	0.0648433614108289	0.0560802025220332	0.0402918837468383	0.0785076269589963	0.060561518605367	0.0562054605027505	0.0587189822123931	0.0629732111866229	0.0579224849830548	0.052283474304417994
