	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.34956902	0.20082998	0.28049582	0.28978613	0.36865792	0.32562733	0.23643102	0.35919353	0.20861574	0.21058454	0.28715587	0.31161577	0.2593114	0.2326985	0.29560244	0.27129593	0.2928267	0.34479702	0.252287	0.23427916	0.20748872	0.2974667	0.23074068	0.24331526	0.2940288	0.25639424	0.2665411	0.32775882	0.2877055	0.26313525	0.31414083	0.26337126	0.29347965	0.2955532	0.28121153	0.27019268	0.22438681	0.22794686	0.31124598	0.28889564	0.30795985	0.24090643	0.19976148	0.2375863	0.2623362	0.28471252	0.33953255	0.24437205	0.22688046	0.2818482	0.2604652	0.21417485	0.23022215	0.23433708	0.3379025	0.23404934
cg08194377	0.3370658	0.19553548	0.2775809	0.22575466	0.485179	0.42410654	0.23169301	0.31751722	0.2326771	0.2065519	0.271179	0.27549908	0.20593886	0.26996592	0.2985175	0.30211493	0.37489137	0.2541786	0.27780882	0.3056723	0.18530479	0.55115473	0.18492274	0.4267143	0.25362375	0.23267937	0.21016744	0.24732418	0.35831496	0.5307704	0.37834898	0.3341911	0.24165784	0.25263396	0.2721258	0.25572273	0.28405097	0.19294178	0.5331741	0.37306568	0.20386028	0.28013095	0.20843093	0.23138969	0.3185801	0.36249366	0.2567359	0.22748746	0.3014342	0.5753247	0.27876225	0.23217012	0.22224791	0.2502111	0.39876413	0.26988706
cg21200986	0.47918758	0.32734108	0.33769095	0.29282814	0.5636574	0.5017869	0.3299111	0.40253514	0.3677095	0.27269384	0.3579305	0.37232003	0.28651962	0.36548904	0.3618872	0.3597491	0.4676775	0.38548484	0.36123654	0.41389495	0.33751404	0.63277125	0.3169572	0.43188584	0.33817303	0.33683506	0.27123266	0.31767	0.45771173	0.62341446	0.4656699	0.38527194	0.38191795	0.27644938	0.3562018	0.3297781	0.38191774	0.2982473	0.5857561	0.5369375	0.28699288	0.44892228	0.3285101	0.2927371	0.42994243	0.35681227	0.3732689	0.2972823	0.3760429	0.6112335	0.38004467	0.33936173	0.34712645	0.3177216	0.435511	0.34863377
cg14829516	0.44581878	0.36118096	0.3738902	0.30263	0.5909217	0.411145	0.35586512	0.39584315	0.40895036	0.31719184	0.39000607	0.382754	0.32685146	0.36976713	0.39896184	0.39896232	0.49228877	0.4263044	0.3913379	0.4187124	0.3866687	0.55377924	0.34870294	0.45028567	0.43160424	0.45795548	0.3598425	0.36904895	0.4842717	0.5368705	0.49063125	0.37496492	0.38167724	0.286405	0.36009774	0.42670134	0.38093975	0.37177327	0.5280063	0.4438704	0.35105804	0.3963614	0.35714313	0.38668114	0.46235618	0.35730472	0.3393696	0.3285046	0.4715657	0.6115139	0.4255966	0.36413223	0.3315602	0.36910188	0.40288302	0.36413088
cg06654697	0.6283659	0.7493814	0.7138112	0.7127074	0.5866234	0.63032955	0.69068366	0.7124451	0.7354922	0.79645437	0.75559485	0.6824778	0.73913527	0.71001714	0.7843933	0.7648862	0.69004744	0.80424696	0.7662654	0.67511547	0.80532604	0.41693434	0.77503437	0.6546657	0.73398954	0.7933427	0.7842293	0.7914179	0.5574372	0.4421103	0.6377496	0.65504014	0.6787197	0.7129862	0.7250327	0.7308021	0.67751366	0.76160425	0.57496905	0.56737185	0.76543695	0.62452316	0.7584606	0.7664643	0.69487625	0.7178023	0.7357812	0.75468755	0.6221602	0.59291714	0.68111646	0.73954624	0.7381391	0.7668458	0.64668435	0.6947088
cg08658787	0.36631936	0.19789249	0.2073341	0.22868057	0.48805517	0.36802214	0.32428515	0.3023587	0.3115363	0.21343201	0.30427107	0.2884307	0.25029927	0.30356985	0.2844705	0.29008332	0.39804187	0.28131363	0.28692105	0.36326325	0.27925417	0.5271221	0.22392845	0.40007126	0.29578796	0.27906573	0.22906992	0.2780794	0.3587824	0.46157414	0.3926506	0.29290164	0.28396428	0.2053426	0.22321287	0.26714954	0.2962645	0.24835289	0.47918642	0.40942827	0.22561863	0.32829535	0.24755554	0.25562733	0.35766116	0.27591917	0.33591348	0.261026	0.33793566	0.5297654	0.3213545	0.27031967	0.2361016	0.23170514	0.33951983	0.2692307
cg06460983	0.20507137	0.3618169	0.3596579	0.3281699	0.12704943	0.23258823	0.25361115	0.2900752	0.32057595	0.39271557	0.32321167	0.2863005	0.28633022	0.267105	0.30699307	0.25863352	0.22901866	0.34917912	0.254654	0.22613147	0.31797165	0.09766972	0.40294468	0.16445014	0.31506947	0.29295903	0.3086874	0.38104436	0.19832528	0.18844834	0.20725635	0.26237184	0.26353496	0.32434332	0.32895684	0.37752023	0.24344243	0.34569603	0.15755588	0.24721664	0.42773876	0.19973014	0.41447887	0.34757906	0.23152001	0.2776455	0.31126451	0.2969368	0.25176314	0.1378421	0.31763425	0.33568084	0.32545757	0.3217137	0.2742257	0.30153984
cg26295272	0.43475848	0.29289427	0.36114633	0.34409305	0.6232362	0.43852013	0.35868973	0.38380048	0.39493307	0.35126466	0.38357833	0.38887593	0.32042658	0.39480942	0.3681461	0.3503404	0.44390616	0.35903046	0.33815297	0.40828547	0.34922844	0.6135641	0.31026268	0.45143014	0.42661715	0.3586488	0.33539432	0.31151608	0.43222123	0.5563153	0.4815769	0.3580627	0.36044142	0.2798889	0.33865544	0.34232345	0.37497175	0.33544806	0.5737626	0.46998557	0.32445484	0.3598953	0.31523624	0.35542756	0.39670065	0.3662556	0.355955	0.3158644	0.43030107	0.66486055	0.40495175	0.29360554	0.30935642	0.325772	0.3879425	0.36630848
cg13507084	0.5703242	0.49874273	0.5555797	0.34232426	0.58898443	0.4958603	0.55706346	0.54824984	0.5671227	0.52231926	0.53096044	0.48282105	0.49586815	0.5646834	0.5406237	0.56027913	0.57510275	0.5271521	0.5340565	0.5462449	0.5350897	0.45476818	0.49469033	0.47166502	0.5661319	0.6637311	0.54976374	0.55889606	0.5376943	0.54575616	0.5116394	0.43894783	0.46743682	0.4362675	0.5237415	0.56758183	0.51977324	0.5379154	0.60852516	0.41252866	0.50193185	0.4201955	0.5304226	0.50065124	0.58702064	0.3951537	0.3523188	0.5241821	0.48286816	0.6415082	0.50401056	0.5516223	0.43191797	0.57645506	0.5743582	0.4846197
cg26491818	0.35668042	0.22234006	0.23276971	0.20084937	0.49812278	0.36787432	0.23596306	0.27926534	0.24115643	0.22542845	0.25362545	0.29486468	0.22982328	0.23735504	0.24714433	0.25895566	0.34936285	0.26203412	0.23283777	0.3351218	0.21710716	0.62030274	0.19707401	0.3680377	0.22155273	0.19892734	0.19993418	0.24278629	0.31135267	0.4968444	0.35742608	0.24895057	0.279842	0.19170731	0.21350192	0.23468588	0.23154578	0.23056749	0.49956635	0.3504127	0.18402825	0.30935773	0.2410692	0.24616636	0.2948974	0.2211938	0.25179055	0.21800113	0.2796849	0.509843	0.2784416	0.21719918	0.24284035	0.21877407	0.32016182	0.24053988
