	A3T1	A3MW	A3ZL	A1CS	A28X	A3MY	A3N2	A3RI	A3GZ	A3H2	A3PU	A3T0	A3ZG	A3ZH	A3T8	A25N	A3H7	A2MY	A3ZP	A3ZO	A25J	A3PR	A1YE	A3N3	A2N9	A3DW	A2N8	A3ST	A3TY	A28T	A2C6	A3MX	A290	A1CV	A1YC	A2N5	A28R	A2N7	A2JQ	A3T6	A3T2	A1CW	A2K9	A3H1	A3ZK	A1CU	A1CT	A3T7	A1YD	A28W	A3DP	A3TB	A1JZ	A2NA	A3TA	A3T3
cg06726390	0.31569988	0.25247335	0.26603046	0.25247335	0.27604046	0.27604046	0.2465065	0.24447526	0.24447526	0.37671706	0.24447526	0.2465065	0.26641658	0.25241467	0.25241467	0.26641658	0.3128067	0.25241467	0.2591857	0.24981894	0.2591857	0.260991	0.29946283	0.260991	0.26137033	0.2577253	0.2577253	0.2577253	0.2639393	0.2639393	0.30531073	0.25395095	0.27044192	0.3664789	0.27044192	0.27044192	0.25133252	0.25133252	0.25133252	0.2696844	0.3727654	0.291101	0.291101	0.35183224	0.24868344	0.26985246	0.254732	0.2549191	0.29452887	0.2658247	0.254732	0.3679893	0.21781567	0.21781567	0.2792148	0.21781567
cg08194377	0.27535	0.31228402	0.31787938	0.27535	0.31787938	0.31787938	0.4092162	0.2701369	0.36379683	0.3321394	0.36379683	0.2701369	0.3365916	0.3363139	0.32841918	0.3363139	0.3265969	0.27599278	0.28084016	0.30249628	0.28084016	0.30249628	0.30654013	0.31023422	0.27651662	0.3703501	0.28035128	0.3703501	0.30413327	0.31354228	0.2977397	0.33385837	0.28451148	0.33385837	0.33385837	0.2977397	0.27238622	0.27238622	0.3008855	0.30225888	0.31200993	0.293694	0.26656362	0.293694	0.3068267	0.293694	0.31855208	0.32494646	0.30053115	0.29728368	0.29728368	0.29333034	0.31158134	0.31158134	0.31158134	0.29333034
cg21200986	0.36189768	0.3546203	0.3215626	0.3215626	0.5	0.5	0.35474193	0.3894613	0.32677773	0.32677773	0.3894613	0.3894613	0.3852786	0.31902173	0.39110342	0.39110342	0.38220927	0.38220927	0.32938206	0.5	0.32938206	0.5	0.34169757	0.40852553	0.31550682	0.5	0.31550682	0.35142088	0.5	0.5	0.4110055	0.39003906	0.37502939	0.33360803	0.33360803	0.37117696	0.36334273	0.33740824	0.49403286	0.42805254	0.36664775	0.5146277	0.31844085	0.34427252	0.37944683	0.3855589	0.39611706	0.31086963	0.31086963	0.5	0.39611706	0.35598388	0.35598388	0.35020924	0.39106593	0.34465653
cg14829516	0.41837278	0.34585068	0.41837278	0.34585068	0.41837278	0.41837278	0.34365654	0.34365654	0.34365654	0.34365654	0.5419807	0.34365654	0.5001384	0.34887794	0.34887794	0.34887794	0.5001384	0.5001384	0.3460643	0.3908748	0.50821763	0.50821763	0.3460643	0.50821763	0.37313262	0.3496988	0.3496988	0.3496988	0.37313262	0.37313262	0.5090683	0.34598556	0.34598556	0.34598556	0.34598556	0.34598556	0.5	0.34751108	0.5	0.5	0.34751108	0.4643254	0.34167057	0.40025294	0.5145381	0.34167057	0.53341424	0.34594882	0.41433084	0.53341424	0.34594882	0.34987113	0.34987113	0.40605974	0.40605974	0.34987113
cg06654697	0.6794354	0.7976896	0.7976896	0.59659153	0.5502743	0.59659153	0.7712299	0.6629952	0.78609	0.78609	0.620881	0.6064155	0.7902924	0.7661373	0.7902924	0.7902924	0.7287219	0.7661373	0.6616691	0.68395156	0.77538663	0.5136112	0.68395156	0.68395156	0.717207	0.77727216	0.77727216	0.77727216	0.6130288	0.500088	0.6713287	0.6257795	0.7174276	0.6713287	0.6713287	0.7879891	0.7991834	0.7991834	0.5681962	0.5681962	0.7991834	0.6280486	0.6747337	0.7946934	0.69099486	0.6280486	0.6405257	0.6562629	0.6562629	0.5164931	0.6405257	0.68000996	0.6235876	0.74841845	0.7874474	0.6235876
cg08658787	0.2853861	0.29011282	0.29011282	0.29011282	0.2853861	0.37328634	0.37093595	0.298776	0.37492236	0.29549825	0.30104613	0.30104613	0.307622	0.35155964	0.3025163	0.3025163	0.3025163	0.3025163	0.2825105	0.3389022	0.2894547	0.3389022	0.2825105	0.3547861	0.2636336	0.36602345	0.30798227	0.39657006	0.28776124	0.30798227	0.2949909	0.40663588	0.40663588	0.2949909	0.2949909	0.2949909	0.2869251	0.2869251	0.35978258	0.2928128	0.2928128	0.29470494	0.34945032	0.3428012	0.2811425	0.29470494	0.3075897	0.36881202	0.3033388	0.36881202	0.3033388	0.28756306	0.31255087	0.28349507	0.30752265	0.28349507
cg06460983	0.22711426	0.24146046	0.22711426	0.24146046	0.22711426	0.28094497	0.24942036	0.20787275	0.20787275	0.3828758	0.38572893	0.20787275	0.26848823	0.37813333	0.21251094	0.23980743	0.20860285	0.26848823	0.27471513	0.23081961	0.3737203	0.23081961	0.32180792	0.23081961	0.20950572	0.20950572	0.3546829	0.3546829	0.3546829	0.29670033	0.19115427	0.32692066	0.37327176	0.19115427	0.40766722	0.37327176	0.23065098	0.38077003	0.30810383	0.31604722	0.36468655	0.34889805	0.4162004	0.4162004	0.28782976	0.27197936	0.33703816	0.24773233	0.35899422	0.33703816	0.37720388	0.2948718	0.26088333	0.2948718	0.3861381	0.22341757
cg26295272	0.5	0.35978207	0.35978207	0.35978207	0.35978207	0.35978207	0.43945158	0.38206503	0.38206503	0.36480683	0.40176004	0.43945158	0.35742167	0.35742167	0.35742167	0.35742167	0.43914184	0.35742167	0.34421435	0.43918946	0.36421654	0.49664178	0.37819996	0.37819996	0.49136037	0.3910412	0.3910412	0.35863853	0.3910412	0.37991226	0.3995764	0.3612116	0.5	0.3995764	0.3612116	0.3612116	0.35009754	0.35009754	0.4157136	0.5	0.4157136	0.4476206	0.3678002	0.5	0.3678002	0.35972035	0.5	0.36736915	0.39082137	0.43872276	0.3741515	0.35653135	0.35653135	0.35653135	0.35653135	0.38086757
cg13507084	0.60108167	0.51469445	0.4662292	0.5	0.51469445	0.4662292	0.5	0.61027753	0.44137684	0.44137684	0.5	0.61027753	0.50936157	0.5028788	0.5028788	0.46119365	0.50936157	0.567175	0.5707064	0.5	0.5	0.5707064	0.5402034	0.5	0.61379457	0.52241075	0.61379457	0.5	0.52241075	0.61379457	0.5297719	0.5297719	0.494952	0.494952	0.494952	0.5	0.42033365	0.5	0.5	0.50824726	0.59689856	0.5113117	0.5113117	0.5876148	0.5876148	0.4733104	0.5271478	0.4713108	0.4713108	0.4950709	0.4713108	0.48321795	0.48111358	0.48111358	0.48111358	0.48321795
cg26491818	0.2729426	0.23666771	0.37251914	0.2729426	0.37251914	0.24017908	0.2534153	0.2534153	0.2534153	0.27795082	0.2534153	0.3699648	0.37667406	0.24259475	0.41925225	0.24259475	0.24259475	0.24259475	0.23704502	0.23704502	0.37197202	0.37197202	0.2735771	0.23704502	0.23825818	0.23825818	0.23825818	0.3056374	0.3056374	0.3680865	0.37043533	0.29371333	0.3922383	0.24629274	0.28828868	0.28828868	0.23222823	0.29018635	0.28637224	0.23222823	0.23222823	0.40206704	0.25734633	0.40206704	0.22542575	0.22542575	0.27182555	0.27182555	0.24496377	0.34178552	0.3004751	0.41341108	0.23978767	0.23978767	0.31347588	0.23978767
